query_id,token_f1,rouge_l,groundedness,context_utilisation,keyword_coverage,abstained,bert_f1,recall,ndcg,gold_density,mrr,hit@1,n_chunks,tokens,budget_fill
EXAM_001,0.3125,0.3125,0.6,0.0,0.14285714285714285,False,0.8782230019569397,1.0,0.413579661665858,0.22222222222222224,1.0,1.0,1,500,1.0
EXAM_002,0.2777777777777778,0.16666666666666666,0.6666666666666666,0.0,0.2857142857142857,False,0.8767023682594299,1.0,0.53350083705442,0.22222222222222224,1.0,1.0,1,500,1.0
EXAM_003,0.1,0.1,0.38823529411764707,0.0,0.2,False,0.8063315153121948,1.0,0.38685280723454163,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_004,0.11267605633802817,0.08450704225352111,0.78,1.0,0.14285714285714285,False,0.8169597387313843,0.0,0.0,0.0,0.0,0.0,1,361,0.722
EXAM_005,0.25,0.25,0.625,1.0,0.5,False,0.8170741200447083,1.0,0.6309297535714574,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_006,0.2524271844660194,0.19417475728155342,0.4807692307692308,1.0,0.2,False,0.8451626896858215,0.5,0.35195904451706733,0.2,1.0,1.0,1,500,1.0
EXAM_007,0.2649006622516556,0.19867549668874174,0.5740740740740741,1.0,0.5,False,0.8347188830375671,1.0,0.5,0.2,1.0,1.0,1,500,1.0
EXAM_008,0.2105263157894737,0.15789473684210528,0.6046511627906976,0.0,0.42857142857142855,False,0.858503520488739,1.0,0.5,0.2,1.0,1.0,1,500,1.0
EXAM_009,0.4230769230769231,0.3076923076923077,0.47368421052631576,0.0,0.16666666666666666,False,0.8839152455329895,1.0,0.4306765580733931,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_010,0.1081081081081081,0.1081081081081081,0.5294117647058824,0.0,0.2857142857142857,False,0.8612337112426758,0.5,0.7039180890341347,0.125,1.0,1.0,1,487,0.974
EXAM_011,0.18181818181818182,0.12121212121212122,0.8888888888888888,0.0,0.2,False,0.8506035208702087,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_013,0.18292682926829268,0.10975609756097561,0.48120300751879697,1.0,0.6666666666666666,False,0.838659942150116,1.0,0.5,0.125,1.0,1.0,1,500,1.0
EXAM_014,0.11695906432748536,0.10526315789473685,0.21428571428571427,1.0,0.16666666666666666,False,0.8327056765556335,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_015,0.16666666666666666,0.13333333333333333,0.391304347826087,0.0,0.0,False,0.849163293838501,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_016,0.2,0.12941176470588234,0.4892086330935252,1.0,0.7142857142857143,False,0.8390885591506958,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_017,0.2142857142857143,0.1904761904761905,0.5609756097560976,1.0,0.2857142857142857,False,0.8647618293762207,0.5,0.20347796014867164,0.1,1.0,1.0,1,500,1.0
EXAM_018,0.1090909090909091,0.06060606060606061,0.3925925925925926,1.0,0.14285714285714285,False,0.8382295966148376,0.5,0.272312688806029,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_019,0.1386138613861386,0.099009900990099,0.41975308641975306,1.0,0.14285714285714285,False,0.8170785307884216,0.5,0.23463936301137822,0.16666666666666666,1.0,1.0,1,500,1.0
EXAM_020,0.16666666666666666,0.08333333333333333,0.25806451612903225,0.0,0.14285714285714285,False,0.8687988519668579,0.5,0.23463936301137822,0.16666666666666666,1.0,1.0,1,500,1.0
EXAM_021,0.2689075630252101,0.20168067226890754,0.5222222222222223,1.0,0.4,False,0.8429898619651794,1.0,0.3154648767857287,0.1,1.0,1.0,1,500,1.0
EXAM_022,0.25,0.25,0.625,0.0,0.0,False,0.8665139675140381,1.0,0.8854598815714874,0.22222222222222224,1.0,1.0,1,500,1.0
EXAM_023,0.43243243243243246,0.27027027027027023,0.5333333333333333,0.0,0.14285714285714285,False,0.8364916443824768,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_024,0.19999999999999998,0.16666666666666666,0.7894736842105263,0.0,0.4,False,0.8525824546813965,1.0,0.38685280723454163,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_025,0.29850746268656714,0.25373134328358204,0.7469879518072289,0.0,0.16666666666666666,False,0.8069360852241516,1.0,0.3562071871080222,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_026,0.33663366336633666,0.27722772277227725,0.41333333333333333,0.0,0.3333333333333333,False,0.8065797686576843,1.0,0.3333333333333333,0.14285714285714285,1.0,1.0,1,500,1.0
EXAM_027,0.35555555555555557,0.35555555555555557,0.35714285714285715,0.0,0.2857142857142857,False,0.8776780962944031,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_028,0.3673469387755102,0.3673469387755102,0.17647058823529413,0.0,0.2857142857142857,False,0.878621518611908,0.0,0.0,0.0,0.0,0.0,1,500,1.0
EXAM_029,0.24427480916030536,0.22900763358778625,0.5096153846153846,1.0,0.6666666666666666,False,0.8394858241081238,1.0,0.5,0.2,1.0,1.0,1,500,1.0
EXAM_030,0.3225806451612903,0.23655913978494625,0.7868852459016393,1.0,0.2,False,0.7847530245780945,0.5,0.23463936301137822,0.16666666666666666,1.0,1.0,1,500,1.0
