query_id,token_f1,rouge_l,groundedness,context_utilisation,keyword_coverage,abstained,bert_f1,recall,ndcg,gold_density,mrr,hit@1,n_chunks,tokens,budget_fill
EXAM_001,0.3636363636363636,0.3636363636363636,0.75,0.4,0.2857142857142857,False,0.8811832070350647,0.0,0.0,0.0,0.0,0.0,5,491,0.982
EXAM_002,0.26666666666666666,0.17777777777777778,0.5714285714285714,0.6,0.42857142857142855,False,0.8730723857879639,0.5,0.7039180890341347,0.13136456211812628,1.0,1.0,5,491,0.982
EXAM_003,0.14516129032258066,0.12903225806451615,0.42201834862385323,0.5,0.2,False,0.8479645848274231,1.0,1.0,0.12348178137651822,1.0,1.0,2,494,0.988
EXAM_004,0.2,0.1,0.5789473684210527,0.0,0.2857142857142857,False,0.8835885524749756,0.0,0.0,0.0,0.0,0.0,1,433,0.866
EXAM_005,0.4,0.35999999999999993,0.5,1.0,0.5,False,0.8294671773910522,1.0,1.0,1.0,1.0,1.0,1,80,0.16
EXAM_006,0.20930232558139533,0.16279069767441862,0.5428571428571428,1.0,0.2,False,0.8451405167579651,0.5,0.7039180890341347,0.6480446927374302,1.0,1.0,2,179,0.358
EXAM_007,0.3538461538461538,0.2769230769230769,0.5862068965517241,0.6666666666666666,0.3333333333333333,False,0.8391108512878418,1.0,1.0,0.27358490566037735,1.0,1.0,3,424,0.848
EXAM_008,0.2769230769230769,0.1846153846153846,0.5,1.0,0.2857142857142857,False,0.8664470911026001,1.0,1.0,1.0,1.0,1.0,1,116,0.232
EXAM_009,0.45161290322580644,0.3548387096774193,0.5517241379310345,0.3333333333333333,0.16666666666666666,False,0.8938342332839966,1.0,1.0,0.25684210526315787,1.0,1.0,3,475,0.95
EXAM_010,0.17391304347826086,0.11594202898550723,0.2857142857142857,1.0,0.0,False,0.872092604637146,0.0,0.0,0.0,0.0,0.0,2,326,0.652
EXAM_011,0.11570247933884295,0.11570247933884295,0.6391752577319587,1.0,0.6,False,0.8216065168380737,1.0,0.4306765580733931,0.19298245614035087,0.5,0.0,3,399,0.798
EXAM_013,0.35483870967741943,0.16129032258064516,0.6129032258064516,0.5,0.6666666666666666,False,0.8873843550682068,1.0,0.6309297535714574,0.08249496981891348,1.0,1.0,2,497,0.994
EXAM_014,0.10909090909090909,0.10909090909090909,0.4166666666666667,0.25,0.16666666666666666,False,0.8598488569259644,0.5,0.7039180890341347,0.16296296296296298,1.0,1.0,4,405,0.81
EXAM_015,0.43902439024390244,0.3902439024390244,0.2962962962962963,0.0,0.0,False,0.877945601940155,1.0,0.5,0.25,1.0,1.0,1,399,0.798
EXAM_016,0.1388888888888889,0.09722222222222222,0.4690265486725664,1.0,0.2857142857142857,False,0.8473355174064636,0.0,0.0,0.0,0.0,0.0,1,459,0.918
EXAM_017,0.19444444444444448,0.19444444444444448,0.6896551724137931,1.0,0.14285714285714285,False,0.8630074262619019,0.5,0.46927872602275644,0.21794871794871795,1.0,1.0,2,234,0.468
EXAM_018,0.11392405063291139,0.06329113924050632,0.3828125,1.0,0.14285714285714285,False,0.8455378413200378,0.5,0.272312688806029,0.19999999999999998,1.0,1.0,1,414,0.828
EXAM_019,0.07518796992481203,0.06015037593984962,0.5221238938053098,1.0,0.14285714285714285,False,0.8101293444633484,1.0,0.7724397457735779,0.5061728395061729,1.0,1.0,3,486,0.972
EXAM_020,0.16091954022988506,0.11494252873563217,0.6428571428571429,1.0,0.14285714285714285,False,0.8085097074508667,1.0,0.9134015924715543,0.5234042553191489,1.0,1.0,3,470,0.94
EXAM_021,0.38095238095238093,0.28571428571428575,0.6764705882352942,0.75,0.4,False,0.90152907371521,1.0,1.0,0.2689295039164491,1.0,1.0,4,383,0.766
EXAM_022,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.2,0.0,False,0.8717559576034546,0.5,0.15642624200758548,0.09047619047619047,0.2,0.0,5,420,0.84
EXAM_023,0.4444444444444444,0.33333333333333326,0.5,0.16666666666666666,0.14285714285714285,False,0.8545078635215759,0.5,0.35195904451706733,0.12977867203219315,0.3333333333333333,0.0,6,497,0.994
EXAM_024,0.11965811965811965,0.11965811965811965,0.45263157894736844,0.75,0.6,False,0.814717173576355,1.0,1.0,0.19614147909967847,1.0,1.0,4,311,0.622
EXAM_025,0.25373134328358204,0.25373134328358204,0.3855421686746988,0.8,0.16666666666666666,False,0.8134982585906982,1.0,1.0,0.2928759894459103,1.0,1.0,5,379,0.758
EXAM_026,0.4000000000000001,0.29999999999999993,0.35294117647058826,1.0,0.3333333333333333,False,0.8251766562461853,0.0,0.0,0.0,0.0,0.0,2,172,0.344
EXAM_027,0.14285714285714285,0.14285714285714285,0.8736842105263158,1.0,0.14285714285714285,False,0.8251387476921082,1.0,1.0,0.5110132158590308,1.0,1.0,2,227,0.454
EXAM_028,0.3191489361702127,0.1914893617021277,0.5,0.5,0.2857142857142857,False,0.8524213433265686,1.0,1.0,0.24217118997912318,1.0,1.0,2,479,0.958
EXAM_029,0.23728813559322035,0.2033898305084746,0.8241758241758241,0.6666666666666666,0.5,False,0.8208209276199341,1.0,0.5,0.24421052631578946,0.5,0.0,3,475,0.95
EXAM_030,0.31343283582089554,0.26865671641791045,0.7450980392156863,1.0,0.6,False,0.8231053352355957,0.0,0.0,0.0,0.0,0.0,2,469,0.938
