query_id,token_f1,rouge_l,groundedness,context_utilisation,keyword_coverage,abstained,bert_f1,recall,ndcg,gold_density,mrr,hit@1,n_chunks,tokens,budget_fill
EXAM_001,0.23529411764705882,0.17647058823529413,0.8235294117647058,0.2222222222222222,0.14285714285714285,False,0.859978199005127,0.5,0.2119004592897435,0.03304347826086956,0.16666666666666666,0.0,9,1150,0.7666666666666667
EXAM_002,0.29411764705882354,0.23529411764705882,0.7,0.3333333333333333,0.14285714285714285,False,0.8792721629142761,1.0,0.794688985302811,0.0891304347826087,1.0,1.0,9,1150,0.7666666666666667
EXAM_003,0.5517241379310344,0.5517241379310344,0.5714285714285714,0.4444444444444444,0.2,False,0.9111055135726929,1.0,1.0,0.05422222222222222,1.0,1.0,9,1125,0.75
EXAM_004,0.10666666666666667,0.10666666666666667,0.7222222222222222,0.5555555555555556,0.2857142857142857,False,0.8204999566078186,1.0,0.2103099178571525,0.07515233581584292,0.3333333333333333,0.0,9,1477,0.9846666666666667
EXAM_005,0.31999999999999995,0.2933333333333333,0.8431372549019608,0.7142857142857143,0.5,False,0.8525083065032959,1.0,1.0,0.058823529411764705,1.0,1.0,7,1360,0.9066666666666666
EXAM_006,0.08163265306122448,0.08163265306122448,0.75,0.14285714285714285,0.2,False,0.8185412287712097,1.0,0.8005176283269871,0.21043324491600354,1.0,1.0,7,1131,0.754
EXAM_007,0.34285714285714286,0.3,0.8556701030927835,0.3333333333333333,0.5,False,0.8660184741020203,1.0,1.0,0.08560885608856089,1.0,1.0,6,1355,0.9033333333333333
EXAM_008,0.22047244094488191,0.1889763779527559,0.6702127659574468,0.14285714285714285,0.42857142857142855,False,0.828966498374939,1.0,1.0,0.08100558659217877,1.0,1.0,7,1432,0.9546666666666667
EXAM_009,0.2647058823529412,0.2058823529411765,0.7572815533980582,0.75,0.16666666666666666,False,0.8662278652191162,1.0,1.0,0.08165997322623829,1.0,1.0,8,1494,0.996
EXAM_010,0.10852713178294575,0.0930232558139535,0.6605504587155964,0.8333333333333334,0.2857142857142857,False,0.8532612323760986,1.0,0.2805512823717265,0.05719298245614035,0.3333333333333333,0.0,6,1425,0.95
EXAM_011,0.19512195121951217,0.14634146341463414,0.9411764705882353,0.5,0.4,False,0.8526216745376587,1.0,0.4306765580733931,0.05332409972299169,0.5,0.0,10,1444,0.9626666666666667
EXAM_013,0.20634920634920634,0.14285714285714285,0.6421052631578947,0.7,0.3333333333333333,False,0.8415501117706299,1.0,0.6309297535714574,0.027777777777777776,1.0,1.0,10,1476,0.984
EXAM_014,0.16666666666666669,0.16666666666666669,0.7241379310344828,0.5,0.16666666666666666,False,0.8398544788360596,1.0,0.8076590636425173,0.0650802752293578,1.0,1.0,10,1308,0.872
EXAM_015,0.41025641025641024,0.41025641025641024,0.68,0.0,0.0,False,0.8931530117988586,1.0,0.5,0.07074468085106383,1.0,1.0,4,1410,0.94
EXAM_016,0.1948051948051948,0.1948051948051948,0.9186991869918699,1.0,0.5714285714285714,False,0.853134274482727,0.5,0.09983719697789138,0.041412084181941616,0.5,0.0,5,1473,0.982
